Nom de la commune;Code département;Nom de la région;Population totale;
Paris;75;Île-de-France;2210875
Marseille;13;Provence-Alpes-Côte d'Azur;870018
Toulouse;31;Occitanie;482738
Nice;06;Provence-Alpes-Côte d'Azur;345998
Nantes;44;Pays de la Loire;314611
Montpellier;34;Occitanie;286098
Strasbourg;67;Grand Est;283515
Bordeaux;33;Nouvelle-Aquitaine;256045
Lille;59;Hauts-de-France;236782
Rennes;35;Bretagne;222104
Reims;51;Grand Est;187074
Saint-Étienne;42;Auvergne-Rhône-Alpes;174298
Le Havre;76;Normandie;172769
Toulon;83;Provence-Alpes-Côte d'Azur;171643
Grenoble;38;Auvergne-Rhône-Alpes;160836
Dijon;21;Bourgogne-Franche-Comté;159031
Angers;49;Pays de la Loire;155543
Nîmes;30;Occitanie;154196
Villeurbanne;69;Auvergne-Rhône-Alpes;150375
Saint-Denis;974;La Réunion;149337
Le Mans;72;Pays de la Loire;146804
Aix-en-Provence;13;Provence-Alpes-Côte d'Azur;146385
Clermont-Ferrand;63;Auvergne-Rhône-Alpes;146112
Brest;29;Bretagne;142629
Tours;37;Centre-Val de Loire;139963
Amiens;80;Hauts-de-France;136998
Limoges;87;Nouvelle-Aquitaine;135140
Annecy;74;Auvergne-Rhône-Alpes;130257
Perpignan;66;Occitanie;123602
Boulogne-Billancourt;92;Île-de-France;120943
Besançon;25;Bourgogne-Franche-Comté;120107
Metz;57;Grand Est;119856
Orléans;45;Centre-Val de Loire;118102
Rouen;76;Normandie;112596
Saint-Denis;93;Île-de-France;112309
Argenteuil;95;Île-de-France;112064
Mulhouse;68;Grand Est;110468
Montreuil;93;Île-de-France;109235
Caen;14;Normandie;108461
Nancy;54;Grand Est;106953
Saint-Paul;974;La Réunion;106920
Lyon 3e Arrondissement;69;Auvergne-Rhône-Alpes;103506
Tourcoing;59;Hauts-de-France;98170
Roubaix;59;Hauts-de-France;96953
Nanterre;92;Île-de-France;96321
Avignon;84;Provence-Alpes-Côte d'Azur;94200
Vitry-sur-Seine;94;Île-de-France;93317
Poitiers;86;Nouvelle-Aquitaine;90590
Créteil;94;Île-de-France;90052
Dunkerque;59;Hauts-de-France;89485
Versailles;78;Île-de-France;87315
Asnières-sur-Seine;92;Île-de-France;86678
Aubervilliers;93;Île-de-France;86533
Colombes;92;Île-de-France;86050
Lyon 8e Arrondissement;69;Auvergne-Rhône-Alpes;85610
Aulnay-sous-Bois;93;Île-de-France;85214
Saint-Pierre;974;La Réunion;85059
Lyon 7e Arrondissement;69;Auvergne-Rhône-Alpes;82651
Cherbourg-en-Cotentin;50;Normandie;82578
Courbevoie;92;Île-de-France;82351
Fort-de-France;972;Martinique;82030
Rueil-Malmaison;92;Île-de-France;79783
Pau;64;Nouvelle-Aquitaine;79022
La Rochelle;17;Nouvelle-Aquitaine;78623
Le Tampon;974;La Réunion;78366
Béziers;34;Occitanie;77894
Champigny-sur-Marne;94;Île-de-France;77883
Saint-Maur-des-Fossés;94;Île-de-France;75833
Calais;62;Hauts-de-France;75719
Cannes;06;Provence-Alpes-Côte d'Azur;75046
Antibes;06;Provence-Alpes-Côte d'Azur;74982
Saint-Nazaire;44;Pays de la Loire;72295
Colmar;68;Grand Est;71445
Mérignac;33;Nouvelle-Aquitaine;71203
Drancy;93;Île-de-France;70883
Ajaccio;2A;Corse;70063
Issy-les-Moulineaux;92;Île-de-France;69231
Bourges;18;Centre-Val de Loire;67841
Noisy-le-Grand;93;Île-de-France;67086
Quimper;29;Bretagne;66743
Vénissieux;69;Auvergne-Rhône-Alpes;65822
La Seyne-sur-Mer;83;Provence-Alpes-Côte d'Azur;65386
Cergy;95;Île-de-France;64451
Valence;26;Auvergne-Rhône-Alpes;64322
Levallois-Perret;92;Île-de-France;64028
Villeneuve-d'Ascq;59;Hauts-de-France;63085
Antony;92;Île-de-France;62989
Pessac;33;Nouvelle-Aquitaine;62737
Troyes;10;Grand Est;61988
Montauban;82;Occitanie;61978
Neuilly-sur-Seine;92;Île-de-France;61501
Ivry-sur-Seine;94;Île-de-France;61099
Niort;79;Nouvelle-Aquitaine;61044
Cayenne;973;Guyane;60947
Chambéry;73;Auvergne-Rhône-Alpes;60872
Clichy;92;Île-de-France;60746
Lorient;56;Bretagne;58789
Sarcelles;95;Île-de-France;58332
Beauvais;60;Hauts-de-France;57548
La Roche-sur-Yon;85;Pays de la Loire;56991
Hyères;83;Provence-Alpes-Côte d'Azur;56799
Le Blanc-Mesnil;93;Île-de-France;56346
Meaux;77;Île-de-France;56249
Saint-André;974;La Réunion;56088
Saint-Quentin;02;Hauts-de-France;55940
Maisons-Alfort;94;Île-de-France;55816
Villejuif;94;Île-de-France;55805
Cholet;49;Pays de la Loire;55772
Épinay-sur-Seine;93;Île-de-France;55754
Pantin;93;Île-de-France;55585
Vannes;56;Bretagne;55573
Évry;91;Île-de-France;55425
Narbonne;11;Occitanie;55001
Les Abymes;971;Guadeloupe;54818
Chelles;77;Île-de-France;54682
Fréjus;83;Provence-Alpes-Côte d'Azur;54023
Fontenay-sous-Bois;94;Île-de-France;53968
Saint-Louis;974;La Réunion;53832
Arles;13;Provence-Alpes-Côte d'Azur;53807
Bondy;93;Île-de-France;53416
Sartrouville;78;Île-de-France;53237
Clamart;92;Île-de-France;53099
Bobigny;93;Île-de-France;52633
Laval;53;Pays de la Loire;52359
Lyon 6e Arrondissement;69;Auvergne-Rhône-Alpes;52282
Bayonne;64;Nouvelle-Aquitaine;51943
Grasse;06;Provence-Alpes-Côte d'Azur;51705
Corbeil-Essonnes;91;Île-de-France;51682
Évreux;27;Normandie;51560
Lyon 9e Arrondissement;69;Auvergne-Rhône-Alpes;51313
Albi;81;Occitanie;51151
Sevran;93;Île-de-France;50888
Massy;91;Île-de-France;50549
Cagnes-sur-Mer;06;Provence-Alpes-Côte d'Azur;50385
Vincennes;94;Île-de-France;50300
Lyon 5e Arrondissement;69;Auvergne-Rhône-Alpes;49998
Saint-Ouen;93;Île-de-France;49949
Belfort;90;Bourgogne-Franche-Comté;49926
Montrouge;92;Île-de-France;49372
Martigues;13;Provence-Alpes-Côte d'Azur;49310
Suresnes;92;Île-de-France;49145
Vaulx-en-Velin;69;Auvergne-Rhône-Alpes;48906
Charleville-Mézières;08;Grand Est;48420
Brive-la-Gaillarde;19;Nouvelle-Aquitaine;48333
Saint-Malo;35;Bretagne;47528
Blois;41;Centre-Val de Loire;47524
Saint-Herblain;44;Pays de la Loire;47502
Carcassonne;11;Occitanie;47418
Chalon-sur-Saône;71;Bourgogne-Franche-Comté;47085
Saint-Brieuc;22;Bretagne;47058
Gennevilliers;92;Île-de-France;46939
Châlons-en-Champagne;51;Grand Est;46288
Salon-de-Provence;13;Provence-Alpes-Côte d'Azur;46225
Saint-Priest;69;Auvergne-Rhône-Alpes;46153
Meudon;92;Île-de-France;46014
Châteauroux;36;Centre-Val de Loire;45780
Aubagne;13;Provence-Alpes-Côte d'Azur;45711
Rosny-sous-Bois;93;Île-de-France;45663
Bastia;2B;Corse;45596
Puteaux;92;Île-de-France;44941
Choisy-le-Roi;94;Île-de-France;44781
Livry-Gargan;93;Île-de-France;44721
Angoulême;16;Nouvelle-Aquitaine;44629
Valenciennes;59;Hauts-de-France;44509
